car_id,car_model,used_label,price,exteriorColor,interiorColor,drivetrain,minMPG,maxMPG,fuelType,transmission,engine,mileage
1.0,Toyota Sienna SE,Used,$39,Red,Black,Front-wheel Drive,19.0,27.0,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,29403.0
2.0,Ford F-150 Lariat,Used,$49,Shadow Black,Black,Four-wheel Drive,19.0,24.0,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,32929.0
3.0,RAM 1500 Laramie,Used,$41,Granite Crystal Clearcoat Metallic,Black,Four-wheel Drive,15.0,21.0,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,23173.0
4.0,Honda Accord Sport SE,Used,$28,Gray,–,Front-wheel Drive,29.0,35.0,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,10598.0
5.0,Lexus RX 350,Used,$49,Eminent White Pearl,Birch,Front-wheel Drive,20.0,27.0,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,28137.0
6.0,Toyota 4Runner SR5,Used,$23,Black,–,Rear-wheel Drive,17.0,23.0,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,105469.0
7.0,Honda HR-V LX,Used,$20,Modern Steel Metallic,Black,Front-wheel Drive,28.0,34.0,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,10458.0
8.0,Mercedes-Benz E-Class E 350,Used,$18,Lunar Blue Metallic,Saffron,Rear-wheel Drive,21.0,30.0,Gasoline,7-Speed Automatic,3.5L V6 24V GDI DOHC,58157.0
9.0,Honda Pilot Touring 8-Passenger,Used,$44,Platinum White Pearl,Beige,All-wheel Drive,19.0,26.0,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,14445.0
10.0,Dodge Charger Scat Pack,Dodge Certified,$46,Triple Nickel Clearcoat,Black,Rear-wheel Drive,15.0,24.0,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,25642.0
11.0,Lexus RC 350 Base,Used,$42,Infrared,Silver,Rear-wheel Drive,19.0,28.0,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,10236.0
12.0,Lexus GS 350 Base,Used,$16,Gray,Black,Rear-wheel Drive,19.0,28.0,Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC,48605.0
13.0,Lexus RX 350 RX 350,Used,$36,Nightfall Mica,Gray,Front-wheel Drive,20.0,27.0,Gasoline,8-Speed Automatic,3.5L V6 24V GDI DOHC,47729.0
14.0,Dodge Charger Scat Pack,Dodge Certified,$47,White Knuckle Clearcoat,Black,Rear-wheel Drive,15.0,24.0,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,31538.0
15.0,Dodge Charger Scat Pack,Used,$41,Octane Red Pearlcoat,Black,Rear-wheel Drive,15.0,24.0,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,18717.0
16.0,Lexus RC 350 Base,Used,$41,Silver Lining Metallic,Sport,Rear-wheel Drive,19.0,28.0,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,34102.0
17.0,Ford Explorer XLT,Used,$32,Red,Black,Four-wheel Drive,16.0,22.0,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,61294.0
18.0,Subaru Crosstrek Premium,Used,$25,Cool-Gray Khaki,Black,All-wheel Drive,28.0,33.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,11508.0
19.0,Ford Explorer XLT,Used,$33,Red,–,Four-wheel Drive,16.0,22.0,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/213,81375.0
20.0,Ford Explorer XLT,Used,$30,Ruby Red Metallic Tinted Clearcoat,Ebony Black,Front-wheel Drive,17.0,24.0,Gasoline,6-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,28357.0
21.0,Ford Explorer XLT,Used,$32,Shadow Black,Ebony Black,Four-wheel Drive,16.0,22.0,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,33188.0
22.0,Acura RDX A-Spec,Used,$37,Majestic Black Pearl,Red,All-wheel Drive,21.0,26.0,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5188.0
23.0,Acura RDX A-Spec,Used,$38,Apex Blue Pearl,Red,All-wheel Drive,21.0,26.0,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,12878.0
24.0,Ford Explorer XLT,Used,$31,Magnetic,Ebony Black,Four-wheel Drive,16.0,22.0,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,47661.0
25.0,Subaru Forester Sport,Used,$29,Ice Silver Metallic,Gray,All-wheel Drive,26.0,33.0,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,10859.0
26.0,Subaru Crosstrek 2.0i Premium,Used,$31,Venetian Red Pearl,Black,All-wheel Drive,27.0,33.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,30849.0
27.0,Subaru Crosstrek 2.0i Premium,Used,$24,Venetian Red Pearl,Black,All-wheel Drive,27.0,33.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,86759.0
28.0,Subaru Crosstrek 2.0i Premium,Used,$24,Crystal White Pearl,Black,All-wheel Drive,27.0,33.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,61053.0
29.0,BMW 435 Gran Coupe i xDrive,Used,$30,White,Coral Red / Black,All-wheel Drive,20.0,30.0,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,65219.0
30.0,BMW 435 Gran Coupe i xDrive,Used,$30,Gray,Black,All-wheel Drive,20.0,30.0,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,63055.0
